review_id,review_title,review_text,review_star,company,Product,ASIN
1,Works great no problems or dents,Its practically brand new. Came original package unwrapped brand new from 2016.,5,Apple,MacBook Pro,B081MWTKVR
2,be careful,"Real apple charger was not included, the one that came stopped worked within a week. The L key on the keyboard is also sticky and doesnt work half the time I press it.",2,Apple,MacBook Pro,B0849TCJ64
3,Need touchscreen but everything else is flawless.,"This my 7th MacBook Pro.  I am loving this new MacBook with the scroll bar. I would love it even more if Apple made their computers touchscreen like pretty much everyone else. Im willing to make a compromise, at the moment, because Im a huge fan.",5,Apple,MacBook Pro,B0849TCJ64
4,Great value money,"For being a refurbished item they arrived in perfect condition. No big issue, no hits, no scratches.Original accesorios included. Not branded box, but the plastic cover was perfect!Great performance!They arrived perfectly to Peru.",5,Apple,MacBook Pro,B0849TCJ64
5,Not high performance but not bad for the price...,"Ive had this computer for a few months now and thought Id write a review on it. I rely heavily on reviews when purchasing electronics so this will be very detailed. If youd like the shorter version Ill leave a summery at the bottom.Ok so first thing first. I bought this computer for one reason only: to play Fortnite. That said, it has also become the main computer at home for both my wife and I. So, if youre not into Fortnite or games, this will hopefully still be helpful.When the computer first arrived, setup was easy however the computer was incredibly slow. Doing a quick inspection, I found a lot of bloatware on the device (not surprising). This was easily fixed by doing a clean install of windows OS (made easy by using the built in features in settings). Once the install finished I installed Fortnite and fired it up but the computer was still incredibly slow and Fortnite struggled to run at all even on the lowest settings. It was very jerky and playing competitively was nearly impossible. I also noticed a lot of other applications acting sluggish such as settings, various web browsers, explorer and mail. So heres what Ive done to improve performance!First, I went thru all the applications on the computer and deleted everything that I didnt need or didnt want to use. It was pretty easy to do in settings and had a small (but noticeable) impact on performance.The next thing I did was go thru all the settings with a fine tooth comb and tweak everything for optimal performance. The biggest settings I changed were around background applications but I literally went thru every setting even down to visual effects and transitions. This had a pretty noticeable impact on performance and made the computer feel less sluggish in general. A few other things I did, include changing it to high performance when plugged in (basically the opposite of power saver), turned off auto check for emails, removed the live tiles and I also disabled indexing for the main hard drive.This goes with the last one but things like antivirus, updates and defragmentation I turned off so they dont automaticity run. I still use all them (I am a firm believer in doing all the proper maintenance) but I have to remember to start them myself every night. This has helped because it means its not scanning my computer or downloading updates while playing or watching shows.Lastly, I went to Acers website and downloaded all the drivers for my device. Windows does this but not very well so I did it myself. That and installing the driver for the graphics card also had a big impact.As far as Fortnite (the reason I bought the computer in the first place), I went into settings and set everything to low except  view distance (set to max) and 3D resolution. I have it set to full screen (not windowed full screen). Ive noticed major improvements in performance. Its not where I could play at competition level but it is to where I can enjoyably play a casual game with friends and family. It lags very occasionally and Ive noticed slight delays when shooting sometimes and when trying to build quickly. These issues arent terrible and I still get plenty of kills but I do notice I play better on other devices.Ive tried other games and some of the older ones are playable but anything more intense then Fortnite wont play well at all.One other thing worth noting was I had issues with the screen flickering when playing games but that went away when I downloaded the drivers for the graphics card. I also have had issues with the mousepad and the number pad locking up but I reinstalled the drivers for those and so far no issues. Ill update this if they return.As far as the build quality, its cheap plastic. For the price what did you expect? ;) Still it looks sharp and has held up well.Two things I have not done but plan to do are to upgrade the ram and replace the hard drive with a solid state drive. There are two sticks of ram (4gb and 2gb). The 4gb one cant be replaced but the 2gb should be able to be upgraded. I havent confirmed this by opening it yet but thats what the description says and my research online confirms this. As for the SSD, it is something that can be interchanged but it sounds like its a little bit of work. Ill update this review if I do try it however I figured it would be more appropriate to share my experiences with it as it arrives rather then modified.In conclusion, this device is a good value for casual use such as email, web, Netflix, office, pictures and so on. But I would not advise it for anything beyond that unless you are willing to put in the time to optimize it and are comfortable with modifying advanced settings. I feel like (for the price) it is a good value, however, I will not be buying it again. Next time I will spend a little more to get something with more horsepower to suit my needs.",3,Acer,Aspire 3,B0742KMWL8
6,Junk,"Bought this for my son, who is in college.  Received the first computer in September,  by November it wouldn't boot up or turn on at all, sent it back to Amazon for a refund, against my advice, my son repurchased this computer because he liked the specs, the 2nd computer arrived in December and in February, once again it started to act crazy, shut down and reboot, then crashed.  Acer was of no help, wanted us to send the computer to them, for an undetermined amount of time to ""fix"" it.  Called Amazon and once again, total refund,  with no questions asked.",1,Acer,Aspire 3,B0742KMWL8
7,Cannot use this. Proprietary third party security!,"This is the second laptop received as renewed condition.  These laptops came with third party remote management software installed that requires a user ID and password from Trip Advisor Managing Agent that, if you actually had one, would allow them to setup and manage the software and files on your laptop.  According to Apple tech sit here is no way to get around this and it should be returned.  Very time consuming and still no working laptop!",1,Apple,MacBook Pro,B07ZFZ33SK
8,Good renewed computer minus the battery....,Computer functions great and arrived in like new condition.  No signs of use.  Super impressed with the condition.  I gave 4 instead of 5 stars because the battery has 650+ cycles....the battery is expected to last 1000 cycles so this is pretty high.  For comparison my wife has a MacBook Air that is a year older (2014) that she bought new and hers has under 200 cycles and it is her only computer to this day so it gets regular use.  Im a little disappointed in that especially since some seller answers in the Q&A section lead you to believe theres a new battery installed.  For the price of this used laptop youd expect a new battery.  Id give fewer stars if the rest of the condition wasnt so good.,4,Apple,MacBook Pro,B07ZFZ33SK
9,Amazing with issues,"Amazing laptop but I am returning it, it did not work like a macbook.- kept going on in my book back and draining battery even when setting were changed - always had to shut down computer.- would get loud alot - fans just went crazy for basic searches- computer would at times freeze for 30-50sh seconds, not cool when trading stocks.",3,Apple,MacBook Pro,B07ZFZ33SK
10,"Machine possibly opened, cheap aftermarket charger","The laptop arrived in fair condition.  The screws show signs of wear so it may have been opened up during the ""renewal"" process.  Old stickers were left on the bottom. Also, the laptop was shipped with a cheap knockoff Chinese charger.  I have no reason to trust this charger so I'll have to order a genuine Apple one instead.Fortunately I don't need this machine to be a workhorse or I would send it back.  This should survive a year at least but I don't trust it as-is - I will wipe the hard disk, NVRAM, and SMC just to be safe.",3,Apple,Macbook Air,B078H42W49
11,"A really excellent deal, if this is what you need.","This price for the memory, large SSD, decent processor, very good screen, first-rate touch-pad, very good fingerprint reader, excellent wifi, and small physical size is excellent. And I've actually gotten more than 8 hours of life out of the battery in real use now and then, using somewhat stingy power settings but nothing that interfered with my user experience.  (Writing code and browsing the web, so I don't need blazing processor speed, but I do need good screen brightness.)",5,Asus,ZenBook UX430UN,B077BXRBK1
12,Can't say enough about this little guy,"Wow - I've used Lenovo, HP, many other laptops with work, but decided to branch out as a freelancer last summer so I went cheap with this ASUS.  I've been using it 10+ hours a day for almost six months now - and just wow. Everything about this guy is awesome. Great power, extremely light (huge issue for me as I have back problems) and driver support for Win10 was perfect.  I was disappointed with Linux support on bare metal install, Ubuntu had issues with the mousepad although Manjaro worked fine with some effort. No distros worked oob perfectly, but Win10 does so just use it as host and Linux in virtual box VMs as 'seamless' for both desktops. Both OSs perform outstanding with this hardware design in this laptop. I'm an ASUS convert, I'll be buying more of these down the road as the comparable Lenovo I was looking at was a good $800 more than this one.",5,Asus,ZenBook UX430UN,B077BXRBK1
13,Simply the best computer I've every owned or used!,"Until I got this machine I had no idea how really nice using a computer could be. The keyboard is excellent to type on, and I'm picky as I type very fast. But the real mind blower is the SSD. Having only solid state memory makes this machine blazing fast. I watch other people plug along with their spinning hard drives, and think 'they just have no idea what they're missing'!I find a laptop without an optical drive so much better than those larger, heavier, and (yes) more fragile bigger laptops. This Acer 3 is big enough to totally meet my needs, but no hassle at all to carry along on any of my journeys. I can't imagine wanting any other machine, desktop included.It would be nice to have more than 8GB Ram, but I really work my machine and get along fine with 8GB.Bottom line: a real winner. I'm REALLY pleased with this purchase.",5,Acer,Swift 3,B07BJT451N
14,Looks Brand New!!,"this laptop was amazing!! my boyfriend opened it up, and we could barely tell it wasnt new. would highly recommend this seller.",5,Apple,MacBook Pro,B0849W8JK7
15,Awesome 2019 MacBook Pro!,"Came in the original Apple box, looks totally brand new, works totally brand new, this seller ships you item fast, shipped to hawaii in just days!!! Would highly recommend is an awesome Apple laptop 2019 model",5,Apple,MacBook Pro,B0849W8JK7
16,Five Stars,"The simplicity of this compact & versatile computer is great - no more wires,  tower, plugs.  I love it!",5,Dell,Inspiron 3567,B07BPQJ9GN
17,Great Christmas surprize!,This was a Christmas gift for my daughter & I ordered exactly what she listed but she was disappointed that the LED back lit display didn't perform as expected. I recommended she contact Dell. Frankly We've both been busy & I haven't heard from her but I assume the problem was resolved.,4,Dell,Inspiron 3567,B07BPQJ9GN
18,Does Not Have Backlit Keyboard,"I chose this computer because I like Dell computers.  I wanted a backlit keyboard, so I chose this one.  It does not have a backlit keyboard.  The product description should be corrected.",3,Dell,Inspiron 3567,B07BPQJ9GN
19,"Battery Drain, Buy if You're Okay with Replacing Battery Constantly","Bought the product used over 2 years ago. In these 2 years of use, I needed to change the battery twice and buy a new charging cable twice. The worst part about buying a new battery is that you have to take apart the whole laptop to replace the battery.Games that should take low processing power imo (eg Neverwinter, Civilization 5, some indie games) literally terminally drain the battery. If not plugged in while playing, battery dies. Overheats easily.In addition, the trackpad stopped working reliabily. The sound card was trash from the get go. Will make random noises or stop making sound at random, quick restart fixes the issue for a time.ALL IN ALL, DON'T BUY. Not worth time or extra money to fix.Disclaimer: I run a linux and windows dual boot. On linux, battery drain isn't as drastic as on windows. Above review only are remarks on using the laptop while running windows.",2,Dell,Inspiron 3567,B01L8PENQM
20,Very fast shipping,Product conform to description,5,Dell,XPS 13,B07FDSDR11
