laptop_ID,Price_euros,Company,TypeName,Inches,Resolution,Screen.Type,Cpu.Vendor,Cpu.Series,Cpu.Speed..GHz.,Ram..GB.,Storage.Type,Memory..GB.,Gpu.Vendor,OpSys,Weight..Kg.,average_rating,rating_count
2,898.94,Apple,Ultrabook,13.3,HD,Unspecified,Intel,i5,1.8,8,SSD,128,Intel,mac,1.34,4.4,2385
3,575,HP,Notebook,15.6,FHD,Unspecified,Intel,i5,2.5,8,SSD,256,Intel,no ,1.86,5,6
4,2537.45,Apple,Ultrabook,15.4,QHD,IPS,Intel,i7,2.7,16,SSD,512,AMD,mac,1.83,3.9,15
5,1803.6,Apple,Ultrabook,13.3,QHD,IPS,Intel,i5,3.1,8,SSD,256,Intel,mac,1.37,4.6,125
6,400,Acer,Notebook,15.6,HD,Unspecified,AMD,9420,3,4,HDD,500,AMD,win,2.1,3.8,98
7,2139.97,Apple,Ultrabook,15.4,QHD,IPS,Intel,i7,2.2,16,SSD,256,Intel,mac,2.04,4.2,201
8,1158.7,Apple,Ultrabook,13.3,HD,Unspecified,Intel,i5,1.8,8,SSD,256,Intel,mac,1.34,4.4,599
9,1495,Asus,Ultrabook,14,FHD,Unspecified,Intel,i7,1.8,16,SSD,512,Nvidia,win,1.3,4.1,56
10,770,Acer,Ultrabook,14,FHD,IPS,Intel,i5,1.6,8,SSD,256,Intel,win,1.6,4.2,69
11,393.9,HP,Notebook,15.6,HD,Unspecified,Intel,i5,2.5,4,HDD,500,Intel,no ,1.86,5,2
13,2439.97,Apple,Ultrabook,15.4,QHD,IPS,Intel,i7,2.8,16,SSD,256,AMD,mac,1.83,4.7,73
14,498.9,Dell,Notebook,15.6,FHD,Unspecified,Intel,i3,2,4,SSD,256,AMD,win,2.2,4,53
15,1262.4,Apple,Ultrabook,12,FHD,IPS,Intel,M,1.2,8,SSD,256,Intel,mac,0.92,4.3,274
16,1518.55,Apple,Ultrabook,13.3,QHD,IPS,Intel,i5,2.3,8,SSD,256,Intel,mac,1.37,4.6,125
17,745,Dell,Notebook,15.6,FHD,Unspecified,Intel,i7,2.7,8,SSD,256,AMD,win,2.2,3.3,116
20,979,Dell,Ultrabook,13.3,FHD,IPS,Intel,i5,1.6,8,SSD,128,Intel,win,1.22,4.4,11
21,191.9,Asus,Netbook,11.6,HD,Unspecified,Intel,x5-Z8350,1.44,2,SSD,32,Intel,win,0.98,3.2,17
22,999,Lenovo,Gaming,15.6,FHD,IPS,Intel,i5,2.5,8,SSD,128,Nvidia,win,2.5,4.1,92
24,819,Dell,2 in 1 Convertible,13.3,FHD,Unspecified,Intel,i5,1.6,8,SSD,256,Intel,win,1.62,4,262
25,659,HP,Ultrabook,15.6,FHD,Unspecified,Intel,i7,1.8,8,SSD,256,Intel,win,1.91,4.5,82
26,418.64,Dell,Notebook,15.6,HD,Unspecified,Intel,i3,2,4,HDD,1024,Intel,win,2.3,4,53
27,1099,Apple,Ultrabook,13.3,HD,Unspecified,Intel,i5,1.6,8,SSD,128,Intel,mac,1.35,4.4,2385
28,800,Dell,Notebook,15.6,FHD,Unspecified,Intel,i5,1.6,8,SSD,256,AMD,win,2.2,4,36
33,439,HP,Notebook,17.3,FHD,Unspecified,AMD,9220,2.5,4,HDD,500,AMD,win,2.71,4,585
34,1869,Dell,Ultrabook,13.3,QHD,Unspecified,Intel,i7,1.8,16,SSD,512,Intel,win,1.2,4.1,59
35,998,Apple,Ultrabook,13.3,HD,Unspecified,Intel,i5,1.6,8,SSD,256,Intel,mac,1.35,4.4,2385
36,249,Lenovo,Notebook,14,HD,Unspecified,Intel,Dual Core,1.1,4,SSD,64,Intel,win,1.44,3.2,103
37,367,Acer,Notebook,15.6,HD,Unspecified,Intel,i3,2.7,4,HDD,1024,Intel,lin,2.1,3.8,5306
38,979,Dell,Notebook,17.3,FHD,IPS,Intel,i5,1.6,8,SSD,128,AMD,win,2.8,2.7,5
39,488.69,HP,Notebook,15.6,HD,Unspecified,Intel,i5,2.5,4,HDD,1024,Intel,win,1.86,5,6
40,879,HP,Notebook,15.6,FHD,Unspecified,Intel,i5,1.6,8,SSD,256,Nvidia,win,2.1,4.4,7
41,389,Asus,Notebook,15.6,FHD,Unspecified,Intel,i3,2,4,HDD,1024,Intel,lin,2,3.8,5306
44,682,Acer,Notebook,15.6,FHD,IPS,Intel,i5,1.6,4,SSD,256,Intel,win,2.2,4,172
45,999,Dell,2 in 1 Convertible,17.3,FHD,Unspecified,Intel,i5,1.6,12,HDD,1024,Nvidia,win,2.77,3.8,69
46,1419,Apple,Ultrabook,13.3,QHD,IPS,Intel,i5,2,8,SSD,256,Intel,mac,1.37,4.8,719
47,369,Lenovo,Notebook,15.6,HD,Unspecified,Intel,i3,2,4,SSD,128,Intel,no ,2.2,4,35
49,639,Dell,Notebook,15.6,FHD,Unspecified,Intel,i5,2.5,4,SSD,256,AMD,win,2.3,4.5,76
52,841,Acer,Notebook,15.6,FHD,IPS,Intel,i7,1.8,8,SSD,256,Nvidia,win,2.2,3.9,26
53,398.49,HP,Notebook,15.6,FHD,Unspecified,AMD,9220,2.5,4,SSD,256,AMD,win,1.86,4,17
55,384,Acer,Notebook,15.6,HD,Unspecified,Intel,i3,2.4,4,HDD,1024,Intel,win,2.4,3.8,5306
57,439,HP,Notebook,15.6,FHD,Unspecified,Intel,i3,2,4,SSD,128,Intel,win,1.91,5,3
58,586.19,Asus,Notebook,15.6,HD,Unspecified,Intel,i5,2.5,4,SSD,256,Intel,win,2,3.8,18
59,2449,MSI,Gaming,17.3,FHD,Unspecified,Intel,i7,2.8,16,SSD,256,Nvidia,win,2.43,3.5,64
61,1299,Dell,Notebook,17.3,FHD,Unspecified,Intel,i7,1.8,16,SSD,256,AMD,win,2.8,2.7,5
63,599,Lenovo,Notebook,14,FHD,IPS,Intel,i3,2.7,8,SSD,256,Intel,no ,1.7,4.2,20
64,941,Asus,Notebook,14,FHD,Unspecified,Intel,i5,1.6,8,SSD,256,Intel,win,1.4,4.2,108
